0,1,2,14,15,16,17,18,19,20,21,22,23,24,26,27,30,32,33,35,36,38,39,40,41,43,46,47,48,49,50,51,52,53,54,56,58,60,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,87,88,89,90,91,92,93,94,95,97,98,102,109,110,111,112,114,115,116,117,118,119,121,122,123,124,125,126,127,128,129,130,131,133,134,135,136,137,138,139,140,141,142,143,147,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,178,180,181,182,184,185,186,187,188,189,191,192,193,194,195,active
2.913,287.147,8.975,5.969,9.589,0,0,11.127,6.286,7.11,24.265,0,4.737,0,0.111,-1.64,606.775,3.665,1.692,10.903,0.465,0.337,0.396,0.337,-0.396,1.286,0,3,0,0,0,1,0,1,3,3,2,0,4.737,6.286,0,0,0,5.969,4.795,4.795,0,0,12.133,12.133,5.563,12.673,1,14.326,12.255,0,0,0,0,7.11,35.392,0,0,0,0,0,19.365,4.737,0,20.716,0,0,0,0,34.5,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.979,1126.571,23.25,4.923,10.114,0,23.159,34.187,0,27.657,36.398,0,20.602,25.354,0.15,-4.61,12311766,9.468,4.586,11.845,0.493,0.353,0.018,0.353,-0.591,3.182,5,12,0,0,0,2,1,3,10,12,9,0,30.578,12.163,11.499,17.385,0,5.687,15.524,9.968,0,0,0,24.265,29.071,26.253,3,19.134,34.534,5.409,9.968,5.734,0,31.963,58.403,17.249,30.578,28.698,17.249,0,42.056,0,15.524,5.563,0,0,0,0,83.167,0,0,1,0,2,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.332,90.702,5.82,0,0,0,0,0,18.553,19.262,0,0,5.156,5.207,0.833,-0.53,91.368,2.698,1.219,8.279,0.411,0.057,0.983,0.057,0.983,1.781,1,2,1,0,1,0,0,0,2,2,0,0,5.207,0,0,0,0,0,0,0,0,0,11.577,25.683,0,5.712,1,5.207,5.712,0,0,5.156,32.104,0,0,0,0,0,0,0,10.919,0,0,32.104,0,0,0,0,18.167,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.526,618.047,16.941,6.104,10.213,0,11.791,0,30.992,18.405,24.265,0,42.155,0,0.429,-1.84,364347.7,7.821,4.164,10.61,0.508,0.115,0.09,0.115,-0.517,3.769,2,3,0,1,1,2,0,2,3,3,5,1,10.213,5.75,0,0,0,0,4.9,0,0,0,42.465,68.453,6.042,6.104,3,10.213,0,0,4.9,5.918,38.332,13.09,65.724,5.75,0,0,5.75,0,34.244,6.421,5.918,36.996,0,0,0,0,50.5,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.759,1145.5559,21.25,0,5.107,0,5.88,23.594,46.261,0,4.567,49.512,39.833,9.83,0.304,-2.64,9102184,8.615,3.523,10.97,0.494,0.201,0.152,0.201,0.152,4.843,1,6,0,1,1,2,1,3,6,7,7,0,19.411,18.03,0,5.88,0,0,0,4.992,0,0,49.335,41.152,29.015,16.768,4,9.944,43.944,0,9.467,17.196,13.847,26.241,58.064,5.88,0,5.687,5.88,15.93,52.238,11.885,0,24.974,0,10.903,0,2.674,56.982,0,0,0,0,1,0,1,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2.409,611.293,10.414,0,0,0,5.836,5.836,21.899,0,0,36.398,4.992,11.143,0,-2.16,4813.167,2.667,1.063,7.669,0.383,0.154,0.258,0.154,0.258,1.884,3,3,0,1,1,2,0,2,2,3,0,0,5.734,5.836,5.836,0,0,0,5.409,4.992,0,0,24.265,22.905,11.127,0,3,0,22.444,5.409,0,10.726,0,0,47.525,0,5.734,0,0,0,11.671,0,5.409,11.127,0,10.772,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2.533,377.432,9.259,0,4.795,0,5.969,11.323,11.984,0,6.066,31.199,0,4.737,0.182,-1.57,1492.126,3.053,1.242,11.288,0.423,0.344,0.24,0.344,-0.24,2.608,0,2,0,1,1,1,0,1,2,2,1,0,4.737,5.759,0,0,0,5.969,0,4.795,0,0,25.123,18.563,5.563,5.563,2,9.531,11.728,0,0,0,13.345,0,41.468,0,0,0,0,0,5.969,4.737,0,29.266,0,5.759,0,0,30.667,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.706,867.328,16.778,0,5.107,0,5.75,5.75,16.821,7.11,29.081,54.757,10.312,4.737,0.053,-3.34,482218.53,7.282,3.894,9.592,0.504,0.161,0.115,0.161,0.115,3.791,1,5,0,0,0,2,1,3,5,5,5,0,9.843,5.694,11.499,0,0,0,0,4.682,0,5.099,47.688,35.412,6.2,13.307,3,9.843,24.428,0,14.994,0,0,7.11,71.549,11.499,4.737,0,11.499,0,27.21,0,0,16.821,0,24.428,0,1.629,52.204,0,0,0,0,3,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.135,160.497,5.983,0,0,0,0,0,0,10.036,0,18.199,28.92,0,0.143,-0.3,72.495,2.314,1.1,3.395,0.062,0.02,1.181,0.02,1.181,2.758,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,34.129,18.554,4.473,0,1,0,15.93,0,0,0,6.924,0,34.302,0,0,0,0,15.93,0,0,6.924,5.563,0,0,0,1.181,11.508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
