0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,active
1.15,956.811,24.372,20.744,20.744,16.788,13.046,13.046,11.256,11.256,9.18,9.18,7.219,7.219,17.678,9.185,0,29.912,43.702,19.262,18.554,17.033,6.924,24.064,19.249,489.264,0.731,-1.78,35,453.3,114997521.5,23.609,8.66,3.868,205.481,13.16,0.331,13.16,0.321,0.099,0.321,-0.778,-0.331,4.183,125.393,489.588,1,8,1,5,6,1,0,1,6,1,9,0,2,1,5,6,192,19.69,12.045,11.891,5.787,0,6.031,4.9,18.96,0,0,13.847,62.287,50.123,0,7,28.434,11.719,0,9.8,23.672,70.361,31.496,30.083,0,0,5.317,14.872,0,0,65.916,19.249,29.489,46.454,24.265,0,0,0,72.5,0,0,0,0,0,0,0,0,13.16,63.84,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2.906,567.196,10.293,7.207,7.207,6.609,3.679,3.679,2.647,2.647,1.732,1.732,1.055,1.055,11.597,9.589,0,11.341,0,9.082,13.375,0,0,15.296,5.734,194.055,0.167,-2.25,14,188.106,2040.691,8.353,2.62,0.969,76.968,11.395,0.364,11.395,0.352,0.06,0.352,-0.741,-0.364,-2.078,44.541,194.154,2,8,0,0,0,0,2,2,7,1,8,0,1,0,0,0,72,5.734,6.327,11.341,0,5.907,5.69,4.795,14.179,4.682,5.099,5.213,0,7.048,0,2,4.795,11.554,0,24.379,12.781,0,0,22.506,0,0,11.423,0,0,0,30.286,7.048,0,10.488,11.122,0,5.647,0,108.17,0,0,0,0,0,0,0,0,2.131,39.535,0,0,0,0,0,5,0,0,0,0,1,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.242,1364.391,24.037,19.699,19.699,17.229,11.752,11.752,8.554,8.554,6.283,6.283,4.416,4.416,0,0,0,0,29.487,49.066,17.454,19.243,24.265,50.519,14.736,465.216,0.25,-4.15,35,438.341,142759976.9,22.633,10.411,5.181,204.51,9.003,0.493,9.003,0.163,0.599,0.163,0.599,-0.493,5.081,136.065,465.557,1,7,0,1,1,3,1,4,7,1,7,0,8,0,0,0,176,14.791,12.145,11.499,0,0,0,4.9,9.968,5.262,0,24.265,54.3,36.774,30.866,5,9.474,22.408,5.262,14.868,0,19.386,32.123,83.681,0,17.568,14.791,11.505,11.499,0,41.674,12.966,11.331,23.111,66.991,0,10.903,0,83.3,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1.423,1121.571,23.045,19.251,19.251,16.195,11.373,11.373,8.038,8.038,5.964,5.964,4.039,4.039,0,0,0,0,29.487,62.28,6.327,19.243,24.265,38.078,14.736,446.243,0.4,-3.41,33,416.315,39463880.29,22.772,10.946,5.693,194.307,9.144,0.493,9.144,0.163,0.582,0.163,0.582,-0.493,3.66,129.196,446.555,1,8,0,1,1,2,1,3,8,1,8,0,9,0,1,1,172,24.59,12.145,11.499,0,0,0,0,9.968,5.262,0,12.99,37.231,49.864,30.866,4,9.474,22.408,5.262,19.768,0,13.345,58.302,48.289,0,17.568,14.791,11.505,11.499,0,72.753,0,11.331,18.908,42.726,0,10.903,0,86.54,0,0,0,0,0,0,0,0,0,69.667,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1.296,1442.371,25.397,19.156,19.156,17.313,11.514,11.514,8.855,8.855,6.4,6.4,4.35,4.35,28.94,23.881,4.39,22.555,37.383,24.974,30.734,10.633,9.8,10.527,0,495.172,0.28,-4.28,36,472.302,237071216.7,23.461,9.403,4.636,203.782,15.092,0.477,15.092,0.341,0.058,0.341,-1.328,-0.477,2.808,129.54,495.486,2,9,1,1,2,2,1,3,6,2,11,0,6,1,1,2,186,19.473,23.536,0,5.429,5.907,5.969,9.589,19.001,5.101,0,6.066,43.173,49.367,11.204,5,23.476,34.805,0,14.893,5.101,18.883,31.079,75.58,0,0,15.754,14.468,0,0,58.968,0,11.634,39.599,52.491,0,10.903,0,107.24,0,0,0,0,0,0,0,0,30.131,67.369,0,0,0,0,1,1,0,0,1,1,2,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1.875,745.255,17.579,11.911,11.911,11.376,6.437,6.437,4.338,4.338,2.697,2.697,1.547,1.547,23.554,22.76,0,11.257,0,30.604,18.591,0,0,25.812,0,337.079,0.071,-3.3,24,327.181,205982.85,17.06,7.309,4.597,133.172,12.411,0.416,12.411,0.416,0.014,0.31,-4.474,-0.31,1.598,76.9,337.261,2,7,0,0,0,1,1,2,5,2,10,0,4,0,0,0,124,5.317,12.032,0,0,11.814,6.176,14.573,10.41,18.273,0,0,24.265,17.957,11.76,2,22.76,18.153,0,20.711,5.101,6.176,0,59.677,0,0,10.743,13.171,0,0,28.121,6.176,0,26.41,47.957,0,0,0,96.34,0,0,0,0,0,0,0,0,37.233,40.35,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,3,2,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2.853,221.694,7.397,5.242,5.242,4.843,2.753,2.753,1.709,1.709,1.074,1.074,0.587,0.587,0,4.795,0,5.907,5.563,0,12.394,12.133,5.426,4.984,5.843,137.059,0,-1.42,10,130.086,237.587,6.697,2.932,1.295,58.037,10.75,0.29,10.75,0.265,0.303,0.265,-0.303,-0.29,-0.315,35.891,137.142,3,4,0,0,0,0,1,1,3,2,4,0,1,0,0,0,52,0,0,0,0,5.907,0,15.204,5.843,0,0,0,12.133,17.957,0,1,4.795,5.907,0,10.41,5.843,0,0,30.09,0,0,11.268,0,0,0,10.891,0,0,10.358,24.526,0,0,0,68.01,0,0,0,0,0,0,0,0,0,27.833,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2.108,1046.937,22.596,18.099,18.099,14.818,9.921,9.921,7.606,7.606,5.207,5.207,3.734,3.734,23.299,14.696,0,11.994,11.984,16.876,12.683,43.508,25.98,6.076,14.211,422.173,0.28,-3.54,31,396.269,8052743.547,22.152,9.081,4.331,181.306,12.959,0.502,12.959,0.375,0.005,0.375,-1.792,-0.502,4.184,116.663,422.477,1,6,0,1,1,2,0,2,6,1,6,0,7,0,0,0,162,19.317,5.75,0,11.36,0,11.939,0,9.589,0,0,54.114,43.025,6.421,19.793,3,28.906,17.512,0,0,0,32.29,14.22,82.63,0,5.75,4.737,0,5.75,0,36.866,31.904,0,30.538,65.939,0,5.573,0,82.06,0,0,0,0,0,0,0,0,0,75.75,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2.452,543.653,14.535,11.849,11.849,9.689,6.587,6.587,4.789,4.789,3.403,3.403,2.206,2.206,0,5.107,0,13.214,18.787,28.013,0,7.11,31.209,0,14.58,276.136,0.375,-1.78,20,256.172,38102.795,14.625,6.59,3.029,118.511,9.221,0.496,9.221,0.122,0.054,0.122,-0.11,-0.496,2.04,77.393,276.332,2,4,0,1,1,1,0,1,4,2,4,0,5,0,0,0,108,19.687,24.722,0,0,0,0,0,0,0,0,17.715,36.614,5.563,13.717,2,19.687,6.076,0,0,0,19.951,20.324,46.231,0,5.75,4.737,0,5.75,0,30.537,17.765,0,23.614,29.541,0,6.076,0,58.92,0,0,0,0,0,0,0,0,0,47,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.958,841.862,18.518,15.476,15.476,12.618,9.028,9.028,6.632,6.632,4.357,4.357,2.717,2.717,0,5.107,0,12.649,24.359,23.195,0,4.515,31.32,51.68,0,354.217,0.421,-2.67,26,328.25,1065165.179,18.131,8.139,3.935,153.048,9.474,0.394,9.474,0.229,0.036,0.229,-0.079,-0.394,3.043,103.427,354.458,3,7,0,0,0,1,2,3,7,3,7,0,8,0,0,0,138,15.74,0,5.647,11.897,0,0,0,0,19.582,0,51.103,17.902,12.108,18.846,3,5.107,17.544,0,19.582,0,45.697,17.24,47.656,0,0,10.634,11.897,0,0,37.337,6.545,0,44.237,36.529,0,5.647,0,87.37,0,0,0,0,0,0,0,0,1.739,53.761,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
